stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
87683,1051,Devonshire Mall at Moxies,,42.27368,-82.999918,1,,0,,1
87682,1048,Howard at Devonshire Mall,,42.27396,-83.004843,1,,0,,1
87816,1046,Howard at Grand Marais,,42.2795554,-83.00845481,1,,0,,1
87458,1044,Howard at Charles,,42.281755,-83.009881,1,,0,,1
87725,1042,Howard at Edinborough,,42.283304,-83.010859,1,,0,,1
87454,1041,Howard at McDougall,,42.2852416,-83.01208669,1,,0,,1
87453,1039,Howard at Hildegard,,42.286858,-83.012622,1,,0,,1
88476,1038,Howard at Eugenie,,42.288774,-83.01248,1,,0,,1
87862,1035,Howard at Lens,,42.29241661,-83.01375882,1,,0,,1
87761,1034,Howard at Foch,,42.293831,-83.014666,1,,0,,1
87972,1032,Howard at Logan,,42.295277,-83.015566,1,,0,,1
87861,1030,Tecumseh E at Howard,,42.29796805,-83.01779842,1,,0,,1
88005,1028,Tecumseh E at McDougall,,42.297423,-83.020554,1,,0,,1
87711,1026,Tecumseh E at Goyeau,,42.296799,-83.023758,1,,0,,1
88331,1025,Ouellette at Tecumseh E,,42.296973,-83.02561,1,,0,,1
87844,1023,Ouellette at Hanna,,42.298182,-83.026449,1,,0,,1
88254,1021,Ouellette at Shepherd,,42.30080779,-83.02812104,1,,0,,1
87733,1019,Ouellette at Ellis,,42.302551,-83.029254,1,,0,,1
88052,1017,Ouellette at Montrose,,42.304142,-83.030292,1,,0,,1
87791,1015,Ouellette at Giles,,42.30574273,-83.03133515,1,,0,,1
88158,1013,Ouellette at Pine,,42.307257,-83.032295,1,,0,,1
87745,1011,Ouellette at Erie,,42.30939426,-83.03367885,1,,0,,1
87484,1009,Ouellette at Ouellette Manor,,42.310414,-83.034343,1,,0,,1
87727,1007,Ouellette at Elliott,,42.31212709,-83.0354363,1,,0,,1
88432,1005,Ouellette at Wyandotte,,42.314483,-83.036934,1,,0,,1
88126,1003,Ouellette at Park,,42.316718,-83.038415,1,,0,,1
88107,1001,Chatham at Ouellette,,42.31820901,-83.03996236,1,,0,,1
88419,1000,Windsor Transit Terminal,,42.31755596,-83.04314785,1,,0,,1
87625,1002,Ouellette at Chatham,,42.31788209,-83.0393738,1,,0,,1
88127,1004,Ouellette at Park,,42.31593522,-83.03809096,1,,0,,1
88433,1006,Ouellette at Wyandotte,,42.313499,-83.036628,1,,0,,1
