route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
3277,724,678073,Transway1A,,0,58292,101241,0,0
3277,724,678503,Transway1A,,1,58292,101251,0,0
3277,724,678061,Transway1A,,0,58292,101241,0,0
3277,724,678487,Transway1A,,1,58292,101251,0,0
3277,724,678057,Transway1A,,0,58292,101241,0,0
3277,724,678483,Transway1A,,1,58292,101251,0,0
3277,724,678051,Transway1A,,0,58292,101241,0,0
3277,724,678479,Transway1A,,1,58292,101251,0,0
3277,724,678047,Transway1A,,0,58292,101241,0,0
3277,724,678491,Transway1A,,1,58292,101251,0,0
3277,724,678065,Transway1A,,0,58292,101241,0,0
3277,724,678509,Transway1A,,1,58293,101251,0,0
3277,724,678079,Transway1A,,0,58293,101241,0,0
3277,724,678505,Transway1A,,1,58293,101251,0,0
3277,724,678075,Transway1A,,0,58293,101241,0,0
3277,724,678501,Transway1A,,1,58293,101251,0,0
3277,724,678071,Transway1A,,0,58293,101241,0,0
3277,724,678497,Transway1A,,1,58293,101251,0,0
3277,724,678067,Transway1A,,0,58293,101241,0,0
3277,724,678493,Transway1A,,1,58293,101251,0,0
3277,724,678063,Transway1A,,0,58293,101241,0,0
3277,724,678489,Transway1A,,1,58293,101251,0,0
3277,724,678059,Transway1A,,0,58293,101241,0,0
3277,724,678495,Transway1A,,1,58292,101251,0,0
3277,724,678055,Transway1A,,0,58293,101241,0,0
3277,724,678069,Transway1A,,0,58292,101241,0,0
3277,724,678499,Transway1A,,1,58292,101251,0,0
3277,723,678512,Transway1A,,1,758,101251,0,0
3277,723,678082,Transway1A,,0,758,101241,0,0
3277,723,678508,Transway1A,,1,758,101251,0,0
3277,723,678078,Transway1A,,0,758,101241,0,0
3277,723,678504,Transway1A,,1,758,101251,0,0
3277,723,678074,Transway1A,,0,758,101241,0,0
3277,723,678500,Transway1A,,1,758,101251,0,0
3277,723,678070,Transway1A,,0,758,101241,0,0
3277,723,678496,Transway1A,,1,758,101251,0,0
3277,723,678066,Transway1A,,0,758,101241,0,0
3277,723,678492,Transway1A,,1,758,101251,0,0
3277,723,678062,Transway1A,,0,758,101241,0,0
3277,723,678488,Transway1A,,1,758,101251,0,0
3277,723,678058,Transway1A,,0,758,101241,0,0
3277,723,678054,Transway1A,,0,758,101241,0,0
3277,723,678484,Transway1A,,1,757,101251,0,0
3277,723,678052,Transway1A,,0,757,101241,0,0
3277,723,678480,Transway1A,,1,757,101251,0,0
3277,723,678048,Transway1A,,0,757,101241,0,0
3277,723,678514,Transway1A,,1,763,101251,0,0
3277,723,678084,Transway1A,,0,763,101241,0,0
3277,723,678510,Transway1A,,1,763,101251,0,0
3277,723,678080,Transway1A,,0,763,101241,0,0
3277,723,678506,Transway1A,,1,763,101251,0,0
3277,723,678076,Transway1A,,0,763,101241,0,0
3277,723,678502,Transway1A,,1,763,101251,0,0
3277,723,678072,Transway1A,,0,763,101241,0,0
3277,723,678498,Transway1A,,1,763,101251,0,0
3277,723,678068,Transway1A,,0,763,101241,0,0
3277,723,678494,Transway1A,,1,763,101251,0,0
3277,723,678064,Transway1A,,0,763,101241,0,0
3277,723,678490,Transway1A,,1,763,101251,0,0
3277,723,678060,Transway1A,,0,763,101241,0,0
3277,723,678486,Transway1A,,1,763,101251,0,0
3277,723,678056,Transway1A,,0,763,101241,0,0
3277,723,678482,Transway1A,,1,763,101251,0,0
3277,723,678050,Transway1A,,0,763,101241,0,0
3277,723,678478,Transway1A,,1,763,101251,0,0
3277,723,678046,Transway1A,,0,763,101241,0,0
3277,724,678515,Transway1A,,1,58289,101251,0,0
3277,724,678085,Transway1A,,0,58289,101241,0,0
3277,724,678511,Transway1A,,1,58289,101251,0,0
3277,724,678081,Transway1A,,0,58289,101241,0,0
3277,724,678507,Transway1A,,1,58289,101251,0,0
3277,724,678077,Transway1A,,0,58289,101241,0,0
3277,724,678513,Transway1A,,1,58290,101251,0,0
3277,724,678083,Transway1A,,0,58290,101241,0,0
3277,724,678485,Transway1A,,1,58291,101251,0,0
3277,724,678053,Transway1A,,0,58291,101241,0,0
3277,724,678481,Transway1A,,1,58291,101251,0,0
3277,724,678049,Transway1A,,0,58291,101241,0,0
3278,723,678544,Transway1C,,0,759,101263,0,0
3278,723,678158,Transway1C,,1,759,101282,0,0
3278,723,678536,Transway1C,,0,759,101263,0,0
3278,723,678150,Transway1C,,1,759,101282,0,0
3278,723,678528,Transway1C,,0,759,101263,0,0
